index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b9730a59eb0>,0.32577182992673603,0.00048330369991334,-1.695490684361367e-05,2000.0,0.45648274934178446
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb4e60>,0.5169940865913945,0.00021018350449886203,-0.00029021179905242,2000.0,0.643055658390392
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb7cb0>,0.48585042524623845,0.00024312583066898874,-0.0002572529852316041,2000.0,0.6127113696160896
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dddebd0>,0.3949221708022783,0.00036225370934406254,-0.0001380654829936656,2000.0,0.5194967986489537
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddf5bb0>,0.3707634981162329,0.00040097288695328803,-9.932692641667629e-05,2000.0,0.5009721075737195
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddf7e30>,0.2408956407376781,0.0006882961990092307,0.00018814019110080515,2000.0,0.35857908490133067
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de13ad0>,0.06923478231296251,0.0016512357088682705,0.0011515616526664996,2000.0,0.12734164173532336
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de2e7b0>,0.045184181449711196,0.0020063707575921352,0.0015068744466599782,2000.0,0.0928218026161488
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de49730>,0.00097039124413301,0.005433606577387784,0.00493582559969874,2000.0,0.004277258493557151
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de4ba10>,0.29614296090332154,0.0005462750107680936,4.604792118390044e-05,2000.0,0.42412903548929964
