index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d5fc110>,1.388598367823569e-202,0.37217394421414685,0.37154517500454665,2000.0,7.688093402340248e-202
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d5c59a0>,6.190800367493827e-99,0.20265878586581587,0.20186024684314774,2000.0,8.568973679396944e-99
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d5994c0>,7.787468150449891e-143,0.2794271192051766,0.2787054638413361,2000.0,1.5239269570276941e-142
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d54bf20>,2.080627053312255e-138,0.2720335550890123,0.27130449505404886,2000.0,3.952320846040853e-138
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d515760>,2.6731427515297334e-128,0.25486429322280113,0.25411803813338985,2000.0,4.632087057994271e-128
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d6e8a70>,3.4985930458461647e-236,0.4189812085203497,0.41839931689142673,2000.0,4.813215887315633e-235
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d6a7440>,3.43945734690755e-129,0.2563929386970363,0.25564821454951203,2000.0,6.005821674984721e-129
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d66c470>,8.566224828053293e-194,0.3593176592733752,0.35867601446543673,2000.0,3.634641188725416e-193
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d642bd0>,8.544785256290512e-199,0.36666403274837844,0.3660297453500293,2000.0,4.263002754237244e-198
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d600aa0>,5.6132422495681985e-124,0.24740026705876683,0.246646536730333,2000.0,9.233376743854937e-124
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d7ce600>,3.085046144664833e-168,0.32042464902777446,0.31974405278243423,2000.0,8.386891914238527e-168
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d65d5e0>,9.04764838140307e-208,0.3796375478563542,0.3790162534626199,2000.0,5.550854547509451e-207
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d7659a0>,1.8604087420757273e-117,0.2359984322734704,0.23523328298180635,2000.0,2.9125019617323457e-117
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d727290>,3.096870629312507e-220,0.39721676516526694,0.3966130763972803,2000.0,2.8693454402201595e-219
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d8f1730>,1.0015080894276703e-212,0.38668698943229285,0.386072755070182,2000.0,7.104448009377536e-212
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d8c5f40>,1.4195592697703815e-126,0.25189406844149864,0.2511448386652758,2000.0,2.422856798781027e-126
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d895eb0>,2.1949787284260165e-123,0.24637175641170128,0.24561699602753673,2000.0,3.5975463635574425e-123
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d85d250>,4.867762152145459e-147,0.28637914962975064,0.2856644567400458,2000.0,1.0045290986700174e-146
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d840cb0>,8.207307948069302e-196,0.36229307600540217,0.3616544110840255,2000.0,3.752526177548446e-195
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d9ee060>,6.368210036017423e-138,0.27121753570626206,0.27048765842604805,2000.0,1.1946972546908718e-137
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d9b3ad0>,1.181460947701847e-106,0.2167267602059555,0.21594231029128952,2000.0,1.7415041242098653e-106
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d986060>,1.1174099924585727e-57,0.12307458584947539,0.12219634307115745,2000.0,1.1993005592817778e-57
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d9667b0>,2.9283572595920053e-207,0.3789073946839213,0.37828536904013954,2000.0,1.7726322611396938e-206
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d931d00>,8.998379338719765e-200,0.36809011804222524,0.36745725887151137,2000.0,4.64234570429406e-199
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971daf0ce0>,1.6385621351341112e-143,0.2805510835238112,0.27983055381276845,2000.0,3.262750918205642e-143
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971dabc980>,5.3378235593135126e-145,0.2830140750798621,0.28229601206041277,2000.0,1.0818624535394351e-144
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971da8b380>,1.3933644456796201e-101,0.20751225768921244,0.2067185794295121,2000.0,1.976835807307961e-101
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971da44dd0>,3.0558983000962116e-138,0.27175324734106054,0.27102390657725595,2000.0,5.780740951015333e-138
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971da1a330>,7.774960665255695e-84,0.1744072947528419,0.17358046179816278,2000.0,9.463356949131598e-84
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971da19430>,2.79422832222813e-122,0.24444922154007398,0.24369253573290328,2000.0,4.4985094265658547e-122
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971dbb8a70>,3.8508116863387395e-79,0.165420421024132,0.1645845876951627,2000.0,4.529193019683388e-79
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b96f26c8c80>,1.1274819281462187e-193,0.35914134648705975,0.35849952510146843,2000.0,4.739599957207253e-193
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b96f26a9100>,2.834210456573474e-195,0.3615010721353884,0.3608616140203512,2000.0,1.2372418723888049e-194
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b96fae75d90>,1.0515894012555142e-251,0.4394106879688753,0.43884925650965534,2000.0,2.17009812804547e-250
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b96fae3a0f0>,2.0887477965170884e-283,0.47893100908334596,0.4784091573147765,2000.0,6.321943330791721e-282
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b96fcbd28d0>,7.594825196059102e-223,0.40083444572382443,0.40023438007106915,2000.0,7.336277955342197e-222
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b96fcc094c0>,1.6746938293085493e-160,0.308194657920976,0.30750181331198356,2000.0,4.177532958824623e-160
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971bae8c80>,3.516902493810695e-172,0.32657599508389523,0.3259015594254916,2000.0,1.0041973158428023e-171
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b97094603e0>,7.725419519944705e-159,0.3055349442918822,0.3048394359736969,2000.0,1.8557356942089397e-158
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b9709493b00>,2.0083040576707266e-157,0.30326531597047557,0.302567534614412,2000.0,4.6998455782603604e-157
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b9709491430>,8.09024650230933e-176,0.3322022843074648,0.3315334833903967,2000.0,2.41642888950555e-175
42,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971db675c0>,3.734415475170361e-148,0.2882118577755636,0.28749900034719666,2000.0,7.81301670842094e-148
43,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971db302f0>,1.6849936501728752e-143,0.28053094970737746,0.2798103998322722,2000.0,3.340555096849281e-143
