index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972e249b50>,0.43900468487608035,0.0002997711155777738,-0.00020057934932937727,2000.0,0.5598542891397205
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb5880>,0.5238854211895291,0.00020335226516088323,-0.00029704645742922864,2000.0,0.648076243106393
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb78c0>,0.18491727631313895,0.0008795403539557656,0.0003794800638425855,2000.0,0.2875083679663188
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dddf6b0>,0.005225521467898007,0.003897111662941821,0.0033985616687790543,2000.0,0.013969033652660974
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddf6630>,0.0034848644677226833,0.004263451221144354,0.00376508458011382,2000.0,0.010141849156064732
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de11370>,0.06219145267390657,0.0017396402083806883,0.001240010398675162,2000.0,0.1166732211320396
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de12bd0>,0.12485360911651759,0.0011784555153213638,0.0006785448323960441,2000.0,0.21071947412230105
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de2e690>,0.4177668313162771,0.00032865122765934895,-0.00017168478273732468,2000.0,0.5388242653908801
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de49580>,3.333146968486077e-11,0.021772379923007512,0.021282776509555568,2000.0,1.0808919454947705e-09
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc6c560>,2.7121291312179633e-06,0.010958358823398684,0.010463342986973934,2000.0,2.2387393192235553e-05
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc6fdd0>,0.09578826836462057,0.001387924119602535,0.0008881182758184725,2000.0,0.16921351687757877
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc8a180>,0.9706896031595618,6.75883355838458e-07,-0.0004998242788647467,2000.0,0.981499064219245
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc8b710>,0.04687721829254719,0.0019754128479944066,0.0014759010426129704,2000.0,0.09196449166065472
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dca7e30>,0.7707019323213327,4.2525803666926265e-05,-0.0004579534126476492,2000.0,0.845165887134988
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dcc3620>,2.744904388987987e-12,0.024165256787766598,0.023676851010383082,2000.0,1.1328969023641328e-10
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dcde3f0>,0.5442592824897412,0.00018406439512719253,-0.0003163439810514035,2000.0,0.6606783803485095
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd01280>,0.1084766401445172,0.001288918435780051,0.0007890630396016896,2000.0,0.18730660533706334
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd02b10>,0.00828134139322413,0.003484078837089566,0.0029853221197907454,2000.0,0.02065785160727338
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd1a540>,0.17765127165211522,0.0009093052376021316,0.0004092598448280915,2000.0,0.2779276194658669
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd1b710>,0.07791250760387385,0.0015546938763134621,0.0010549715008761895,2000.0,0.14205734318136035
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd37fb0>,0.0008000967290858515,0.005611732875244191,0.005114041049856355,2000.0,0.0028118900965944486
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd4edb0>,0.029406498241044896,0.002371979204529251,0.0018726658808077001,2000.0,0.06297429340299236
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972db6cf50>,0.008748925392237147,0.0034350751401579505,0.00293629389648431,2000.0,0.021704984306424396
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972db6fa70>,1.234291802257832e-12,0.024931002146817538,0.024442979625369454,2000.0,7.004605977813196e-11
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972db83ec0>,0.050523811734316686,0.0019125562068329494,0.0014130129416711767,2000.0,0.09760770437182882
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972db9e540>,6.376079872850858e-07,0.012336316730940267,0.011841990563137839,2000.0,6.29291361363976e-06
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dbb85c0>,0.6075520820945888,0.0001320338272658983,-0.0003684005902380161,2000.0,0.7082703741414695
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dbbbd70>,0.0012547983014060834,0.005196893291774529,0.004698993838967547,2000.0,0.004069131634559727
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dbdede0>,0.14265115783840612,0.0010753287965460379,0.0005753664986463125,2000.0,0.2338037027387595
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dbf4ec0>,0.5284466039793415,0.00019891776144520534,-0.00030148318061606894,2000.0,0.650175496494908
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dbf7a70>,0.003907730669644969,0.004159634752142871,0.0036612161509176344,2000.0,0.011228542557081113
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc13590>,0.0037673090961944707,0.004192787088075911,0.0036943850796113953,2000.0,0.0108940020998235
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc262a0>,2.4224315511485513e-05,0.008883709823305663,0.008387655624017998,2000.0,0.0001357757931137583
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc30d70>,0.2029458139483735,0.0008112088413625429,0.00031111435129316245,2000.0,0.3081518379015437
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc33b30>,0.738745404121683,5.568425532520571e-05,-0.000444788375177696,2000.0,0.8153654321462741
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc476b0>,0.3605990762601916,0.00041833838701521575,-8.195273491318211e-05,2000.0,0.4886924794690358
