index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738abab47620>,1.0109446132308363e-156,0.30238829034918246,0.3016889302392568,1998.0,5.96063447281558e-156
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba936fc0>,3.138841550641377e-72,0.1521528526230429,0.15130288054547192,1998.0,4.142540883695305e-72
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba95ab70>,4.818217359667941e-117,0.23547557499139427,0.2347091344650698,1998.0,1.0722895496515907e-116
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba96e210>,7.55384031630127e-97,0.1989912486568639,0.19818823236479055,1998.0,1.2425519940582526e-96
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba989b20>,4.327671723069504e-88,0.182632627672208,0.1818132117600999,1998.0,6.484366212123944e-88
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba99d5e0>,1.8429392523589124e-211,0.38519505153684497,0.38457870572384933,1998.0,5.9763887183639014e-210
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba99fcb0>,6.438230755946116e-76,0.15934012799521446,0.15849736120623714,1998.0,8.699276080951001e-76
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9b2a50>,2.5756262814587635e-155,0.30012022835079566,0.2994185944945057,1998.0,1.4088365443159982e-154
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9cfe00>,1.7054866767287494e-170,0.32421839767314375,0.32354092238259047,1998.0,1.433872131916393e-169
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9e7740>,1.0421086652459775e-115,0.2331158932480185,0.2323470871259613,1998.0,2.2108286636526814e-115
