index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dd87410>,1.744951808111279e-48,0.10428460534562167,0.10338754435948816,2000.0,4.982441011839752e-48
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb6630>,2.2817343445969415e-11,0.024241645335384643,0.02326442114443361,2000.0,2.7332648877229852e-11
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dddd580>,2.323399446527386e-41,0.08944731045860344,0.08853538988820653,2000.0,5.581075919171604e-41
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddde120>,2.7229536519937256e-15,0.03302964470407044,0.032061221714289934,2000.0,3.614681163757753e-15
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddf7350>,1.7349156460897995e-31,0.06847810345910466,0.06754518218064609,2000.0,3.176014932761165e-31
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de114c0>,6.533018339276174e-23,0.049872722519617496,0.04892116791022305,2000.0,9.919700087061482e-23
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de2d100>,5.0228159749323606e-26,0.056671530269918446,0.05572678468180625,2000.0,8.35296136490583e-26
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de2fc20>,2.856998806476315e-20,0.04406899062071512,0.04311162356074594,2000.0,4.130819930382952e-20
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de4a120>,4.1300221836224445e-32,0.06981612720727315,0.06888454596261351,2000.0,7.622073460831665e-32
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc6dc70>,2.7354044700239446e-64,0.1363425296974371,0.13547757479478062,2000.0,1.2295778508820504e-63
