index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d5e4080>,1.7329408461601662e-249,0.4384814929675641,0.43763752727563165,2000.0,7.284769853302921e-249
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d5b03b0>,9.625527985629961e-121,0.244048699083378,0.24291249973330298,2000.0,1.153031584558312e-120
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d579fa0>,3.693037039386021e-171,0.327157831873374,0.3261465460495364,2000.0,6.473508941626461e-171
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d538740>,8.283314891925544e-183,0.3450183305257516,0.3440338891387663,2000.0,1.6002659408230623e-182
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d5037a0>,5.966200784937065e-177,0.33609787165962546,0.33510002276933437,2000.0,1.1055735332087459e-176
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d6e8cb0>,2.917634381542769e-263,0.4560560036842648,0.4552384525875979,2000.0,1.6767164673676166e-262
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d691010>,3.767191718289033e-185,0.348551549886965,0.3475724189499214,2000.0,7.501337895189565e-185
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d65f8f0>,3.258616271207249e-243,0.43028849172949224,0.4294322119074424,2000.0,1.2226543695273478e-242
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d61a7b0>,1.0693254477355606e-229,0.41222993739811564,0.4113465154603373,2000.0,3.2150579686883745e-229
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b971d7e3aa0>,1.6569263936260027e-143,0.2827804003377712,0.28170241496753734,2000.0,2.365549002220771e-143
