index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972f9c9f10>,7.163778486406406e-236,0.418564030672281,0.41798172123880306,2000.0,5.081805363794544e-235
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb6f30>,9.322547542253531e-136,0.2675690553413268,0.26683552409980593,2000.0,2.0250892747287573e-135
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddb7c50>,2.0129502134790166e-200,0.36903707837190913,0.36840516758409936,2000.0,8.1596374724953e-200
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddddeb0>,3.2024502775310197e-146,0.2850314923639301,0.28431544979243684,2000.0,7.692658338619486e-146
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972ddf7e00>,2.2232283135488187e-191,0.3557408801824846,0.3550956532222267,2000.0,8.206062230497266e-191
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de11df0>,2.9741707353005276e-82,0.17138862246381803,0.17055876630203926,2000.0,4.2865825835759985e-82
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de13830>,7.369120522477207e-83,0.1725456723291453,0.17171697495541394,2000.0,1.0688756284998887e-82
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de2e6f0>,2.0301121625405797e-115,0.23239954610801983,0.23163079252375152,2000.0,3.5862681781845263e-115
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de4acf0>,1.2592418535671716e-146,0.285699538780815,0.2849841652593136,2000.0,3.057196799569497e-146
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972de4b4a0>,1.492411059276417e-165,0.31620443786952246,0.3155196150731975,2000.0,4.081654342840321e-165
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc6e750>,8.268640713314303e-201,0.3695990493371635,0.3689677013645417,2000.0,3.4126935307679033e-200
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dc8b2f0>,3.611646032887238e-85,0.17694122126351408,0.1761169260419453,2000.0,5.306431388125586e-85
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x7b972dca5eb0>,1.1543286518326857e-48,0.10465520144986795,0.1037585116165679,2000.0,1.435795090224765e-48
