index,name,base_name,Label Name,network,component,hemisphere,model,pvalue,r2,r2_adj,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738abab479e0>,1.7969928336967793e-302,0.5034772024438621,0.5027301771717114,1998.0,6.687170053265064e-302
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba937dd0>,4.1041652995115393e-165,0.3179581227307391,0.31693198149111645,1998.0,4.916335213662899e-165
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba95bef0>,3.091750450824863e-228,0.4105559774378226,0.40966915092443923,1998.0,5.0491176427139857e-228
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba96fb30>,6.654213564096352e-259,0.45088561451939246,0.4500594644910867,1998.0,1.4116882981774503e-258
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba98b980>,1.2829661668613612e-278,0.4753409867789963,0.47455163018939606,1998.0,3.165579563886185e-278
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba98be90>,7.592498987955934e-307,0.5084703448349913,0.5077308318131784,1998.0,3.0236794215192926e-306
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba99f7a0>,1.6836357673112727e-283,0.48122647232730686,0.48044597053040716,1998.0,4.577069690774358e-283
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9b2e70>,2.772300067558983e-308,0.5101003161765034,0.5093632554686447,1998.0,1.1338957033079082e-307
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9cca10>,1.2929608703351764e-295,0.49554745613295814,0.49478850045010914,1998.0,4.348179519497557e-295
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9e6ed0>,4.829415742743278e-215,0.39230475559688194,0.391390469873106,1998.0,7.28423504054966e-215
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x738aba9fb920>,1.2994416419176542e-269,0.46430834445836977,0.4635023891090093,1998.0,3.0099311501561987e-269
