index,name,base_name,Label Name,network,component,hemisphere,f,pvalue,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,238.37044908752168,6.950097558126629e-51,1998.0,1.6016976098423806e-50
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,109.233063090598,6.275452904117262e-25,1998.0,7.477836268948129e-25
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,142.61817685313446,8.414899477037029e-32,1998.0,1.1336392767284305e-31
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,224.23823965464038,4.01396798022759e-48,1998.0,8.2087453289339e-48
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,248.09710387678172,8.950183914725025e-53,1998.0,2.2204281405929843e-52
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,136.2161627955664,1.7122446225211965e-30,1998.0,2.240227834653093e-30
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,283.8495176196824,1.19192808582553e-59,1998.0,4.008410007146598e-59
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,249.93579696229517,3.939835647590817e-53,1998.0,9.937141022256838e-53
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,154.7427410349254,2.875142764673031e-34,1998.0,4.079108797379863e-34
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,99.73327112750606,5.973178028325327e-23,1998.0,6.953391858614612e-23
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,135.62878653017253,2.258596364726888e-30,1998.0,2.9381167609914246e-30
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,66.47137613837684,6.204160989551765e-16,1998.0,6.75465009414029e-16
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,161.0094188135808,1.5481793189424262e-35,1998.0,2.2820565285709786e-35
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,113.48591988776387,8.227781267083309e-26,1998.0,9.908256486089714e-26
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,42.28407298748928,9.948718877949653e-11,1998.0,1.0479624989765992e-10
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,112.95850618978167,1.0582679896153834e-25,1998.0,1.2710414478449313e-25
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,214.07064224694838,3.997617077555669e-46,1998.0,7.625706526093589e-46
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,157.9886118184864,6.3234738716306e-35,1998.0,9.084990942152825e-35
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,131.59008788554615,1.5199010180552554e-29,1998.0,1.9492515881273616e-29
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,130.35256519344549,2.728176325448505e-29,1998.0,3.4597543345073216e-29
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,149.74031407688247,2.98132269713465e-33,1998.0,4.139206435777159e-33
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,43.46228950584835,5.5171394575602094e-11,1998.0,5.838651080961154e-11
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,179.92007840071759,2.4258373160794318e-39,1998.0,3.8508046905596574e-39
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,117.12835264983136,1.4494558454782143e-26,1998.0,1.7548078769256248e-26
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,145.0820720302035,2.6460753543217733e-32,1998.0,3.6075621947810364e-32
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,141.40870487537956,1.485670310085187e-31,1998.0,1.989658763358923e-31
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,185.4433846011205,1.906359059501724e-40,1998.0,3.124501852035317e-40
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,163.88264470372823,4.0681980473361044e-36,1998.0,6.075532610166419e-36
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,98.7617859424204,9.531093401664623e-23,1998.0,1.106679387303258e-22
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,102.95473692954836,1.2707709526530496e-23,1998.0,1.498519512998661e-23
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,99.92975770225812,5.434685029612901e-23,1998.0,6.342794353327139e-23
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,610.6868349842019,7.656213637222417e-118,1998.0,8.689802478247443e-116
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,231.36201806267172,1.6189412328862792e-49,1998.0,3.585362535270101e-49
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,309.09755938762225,1.9378464022516213e-64,1998.0,7.717388303703825e-64
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,430.86358309400305,8.297070427828111e-87,1998.0,1.046352770620545e-85
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,183.3534631854883,4.986971917394741e-40,1998.0,8.028671101053944e-40
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,175.25185448245617,2.0933238013697683e-38,1998.0,3.2771345028340513e-38
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,128.94891501647842,5.299507202414774e-29,1998.0,6.664754210239079e-29
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,271.9336828064467,2.2665168458140862e-57,1998.0,7.047935945202707e-57
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,133.5798479089985,5.938463675869297e-30,1998.0,7.681089768788207e-30
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,152.37951745204495,8.673486673035535e-34,1998.0,1.2153589350488064e-33
42,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,159.84923717982124,2.6572107311811086e-35,1998.0,3.8790150223672777e-35
43,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,211.93082383619,1.05575531208449e-45,1998.0,1.9971371320264936e-45
44,7Networks_LH_SomMot_13,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,56.53266093423548,8.304854294408876e-14,1998.0,8.892461909579314e-14
