index,name,base_name,Label Name,network,component,hemisphere,f,pvalue,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1436.5704400787506,2.66538521656355e-237,2000.0,2.0168081471997527e-236
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,728.9824562122021,3.93760713957881e-137,2000.0,8.636104547675264e-137
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1165.2199807950185,1.4240479294998023e-201,2000.0,5.87743418175373e-201
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,785.2448775906755,5.3037165645310065e-146,2000.0,1.2606739896843335e-145
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1089.469134460383,4.7552708846158233e-191,2000.0,1.727114385292467e-190
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,408.86358400179574,7.309605014129426e-83,2000.0,1.0705034440047611e-82
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,413.5821404674979,1.0284424738159787e-83,2000.0,1.5159509191962801e-83
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,603.7588627342029,1.0427016643664121e-116,2000.0,1.8491662328998088e-116
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,737.872316839105,1.5185766390915815e-138,2000.0,3.363091678768673e-138
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,891.4600410038836,2.87492823336626e-162,2000.0,7.544609352302207e-162
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1166.428471096558,9.720559527931735e-202,2000.0,4.086235208963896e-201
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,429.31352930421264,1.530299093224926e-86,2000.0,2.28538088264512e-86
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,229.0196337433241,4.6073509806958566e-49,2000.0,5.730787247221695e-49
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,575.660308964736,5.453552318535726e-112,2000.0,9.414116930095892e-112
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,388.7452373141633,3.2691551417812004e-79,2000.0,4.716215062792179e-79
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1657.9208598998885,2.0745771455610964e-264,2000.0,2.2972146928896044e-263
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,384.49562616379274,1.9477756112502358e-78,2000.0,2.7807865644893305e-78
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1200.3430315758035,2.2883730769423464e-206,2000.0,1.0086615310017722e-205
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1169.1683697493313,4.092113511642193e-202,2000.0,1.736279938584631e-201
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,692.7430646789051,2.5521693674953567e-131,2000.0,5.389232059734381e-131
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1376.4978481040785,1.2167895076276121e-229,2000.0,7.78059769666107e-229
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1165.66153013047,1.23858629744089e-201,2000.0,5.158882376496918e-201
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,592.0229095524479,9.608902335936479e-115,2000.0,1.6843404094653132e-114
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,520.0946597393543,1.6694516475381472e-102,2000.0,2.7068965999368526e-102
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,736.8079432992865,2.2411213699780085e-138,2000.0,4.939170397912699e-138
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1438.463967290671,1.5364443020520834e-237,2000.0,1.2026650226407689e-236
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,757.1642654656908,1.3463835281189376e-141,2000.0,3.102833105411156e-141
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,388.74297219232744,3.2722637550210054e-79,2000.0,4.716215062792179e-79
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,265.2842396629598,4.24270383409862e-56,2000.0,5.519162007681299e-56
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,320.66910492407237,1.269096259388928e-66,2000.0,1.7250589873130936e-66
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,218.7101449469244,4.845940667121219e-47,2000.0,5.962214262528546e-47
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2462.165090065029,0.0,2000.0,0.0
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2145.337152890644,1.00529e-318,2000.0,2.684716e-317
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2479.6851483780742,0.0,2000.0,0.0
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2491.894432531883,0.0,2000.0,0.0
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2218.996752254039,0.0,2000.0,0.0
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1588.1198879141834,4.8284102004175046e-256,2000.0,4.982041434067152e-255
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1225.9684043782809,7.853544134250075e-210,2000.0,3.793094720159079e-209
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1942.3162193096844,6.379826894011684e-297,2000.0,1.3165642772187747e-295
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,453.9893336641257,6.123260186930274e-91,2000.0,9.391757178602515e-91
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1190.8099819714753,4.523434163450754e-205,2000.0,1.9558467716253735e-204
42,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,997.6875184971035,6.031896696991065e-178,2000.0,1.850325067860773e-177
43,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,572.2995112491369,2.01615126955959e-111,2000.0,3.4411002871430595e-111
44,7Networks_LH_SomMot_13,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,264.8730934103365,5.090433422254278e-56,2000.0,6.6030193534384065e-56
45,7Networks_LH_SomMot_14,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1802.238765997622,3.26477361121086e-281,2000.0,4.940690731632435e-280
46,7Networks_LH_SomMot_15,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,460.7196085071824,3.937945119936433e-92,2000.0,6.101798923041435e-92
47,7Networks_LH_SomMot_16,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,561.0044762264175,1.653650804254807e-109,2000.0,2.7909199447274434e-109
48,7Networks_LH_SomMot_17,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2454.261213188657,0.0,2000.0,0.0
49,7Networks_LH_SomMot_18,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1827.818200339895,4.003273038196223e-284,2000.0,6.491021283361019e-283
50,7Networks_LH_SomMot_19,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,904.0397341248587,3.732950839986124e-164,2000.0,1.0087855246152979e-163
51,7Networks_LH_SomMot_20,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,651.2570503300166,1.4369368273801118e-124,2000.0,2.8363883462198725e-124
52,7Networks_LH_SomMot_21,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,63.633192295785804,2.500883105707134e-15,2000.0,2.789682874670857e-15
53,7Networks_LH_SomMot_22,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,841.0543113174983,1.2635931785528327e-154,2000.0,3.152040126719703e-154
54,7Networks_LH_SomMot_23,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,651.7576876724686,1.1894397869913995e-124,2000.0,2.368445891640769e-124
55,7Networks_LH_SomMot_24,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,272.1320912925987,2.051947696588748e-57,2000.0,2.6924400411887035e-57
56,7Networks_LH_SomMot_25,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,437.7849798787748,4.676122124421913e-88,2000.0,7.076531481625162e-88
57,7Networks_LH_SomMot_26,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,292.52163304192595,2.62653263626767e-61,2000.0,3.496908553857837e-61
58,7Networks_LH_SomMot_27,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,259.2055691817336,6.292231786240547e-55,2000.0,8.138670173655864e-55
59,7Networks_LH_SomMot_28,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1229.6361263895137,2.52035663931872e-210,2000.0,1.25740869697879e-209
60,7Networks_LH_SomMot_29,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,351.3258414766235,2.444964892460691e-72,2000.0,3.3841892109059564e-72
61,7Networks_LH_SomMot_30,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,789.2061472820445,1.2788853030744192e-146,2000.0,3.055862776819928e-146
62,7Networks_LH_SomMot_31,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,121.24097368513158,2.0438466724301886e-27,2000.0,2.379247152008476e-27
63,7Networks_LH_SomMot_32,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,114.81032113773685,4.364209130803626e-26,2000.0,5.054466697410321e-26
64,7Networks_LH_SomMot_33,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,55.25247421266322,1.5637465418034926e-13,2000.0,1.7189853026120717e-13
65,7Networks_LH_SomMot_34,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,31.56207520232537,2.20235419831511e-08,2000.0,2.369357360272654e-08
66,7Networks_LH_SomMot_35,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,460.68835115280865,3.9883814530792484e-92,2000.0,6.158929182646186e-92
67,7Networks_LH_SomMot_36,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,109.14521982830401,6.530823033639242e-25,2000.0,7.487357720384384e-25
68,7Networks_LH_SomMot_37,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,62.33137443651644,4.746305236026846e-15,2000.0,5.281427885186735e-15
69,7Networks_LH_DorsAttn_Post_1,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,810.3276901772839,6.726779172506103e-150,2000.0,1.6597596436509625e-149
70,7Networks_LH_DorsAttn_Post_2,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,774.9043909335767,2.1944330751558136e-144,2000.0,5.16203428041834e-144
71,7Networks_LH_DorsAttn_Post_3,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,633.8464811321845,1.052459348423709e-121,2000.0,1.9909022674348495e-121
72,7Networks_LH_DorsAttn_Post_4,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,888.2185626311698,8.832572334164391e-162,2000.0,2.3045907124773754e-161
73,7Networks_LH_DorsAttn_Post_5,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,451.09986161668144,1.9935653433962155e-90,2000.0,3.0474029154945516e-90
74,7Networks_LH_DorsAttn_Post_6,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,692.8563625318099,2.446907889045121e-131,2000.0,5.191103652460211e-131
75,7Networks_LH_DorsAttn_Post_7,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,213.0564199295506,6.286081078950756e-46,2000.0,7.692401104699846e-46
76,7Networks_LH_DorsAttn_Post_8,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,793.8728399915753,2.399965474534328e-147,2000.0,5.764996430891983e-147
77,7Networks_LH_DorsAttn_Post_9,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,919.3662010455449,1.9257826275327036e-166,2000.0,5.3638362754591864e-166
78,7Networks_LH_DorsAttn_Post_10,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,438.57244475311705,3.383297813225933e-88,2000.0,5.137181294998574e-88
79,7Networks_LH_DorsAttn_Post_11,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,542.8892796504989,2.0224967402457566e-106,2000.0,3.3511442338378593e-106
80,7Networks_LH_DorsAttn_Post_12,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,754.9788577147432,2.977497260352655e-141,2000.0,6.827190687879321e-141
81,7Networks_LH_DorsAttn_Post_13,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,97.75659012812157,1.5434512630580796e-22,2000.0,1.7606202849958997e-22
82,7Networks_LH_DorsAttn_Post_14,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,112.86238307440676,1.1054428258642702e-25,2000.0,1.27702555456076e-25
83,7Networks_LH_DorsAttn_Post_15,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,87.64817720397421,2.033769707836578e-20,2000.0,2.308328618394516e-20
84,7Networks_LH_DorsAttn_Post_16,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,38.131861919932845,7.98853066509617e-10,2000.0,8.614710028393495e-10
85,7Networks_LH_DorsAttn_Post_17,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,2.9847638341044442,0.084206153290084,2000.0,0.08629705100157593
86,7Networks_LH_DorsAttn_FEF_1,7networks_lh_dorsattn_fef,7Networks_LH_DorsAttn_FEF,dorsal attention,frontal eye fields,L,608.7605723225332,1.5262367119127953e-117,2000.0,2.7496486793984487e-117
87,7Networks_LH_DorsAttn_FEF_2,7networks_lh_dorsattn_fef,7Networks_LH_DorsAttn_FEF,dorsal attention,frontal eye fields,L,1024.7014810629862,7.62814687757796e-182,2000.0,2.5278676514017475e-181
88,7Networks_LH_DorsAttn_FEF_3,7networks_lh_dorsattn_fef,7Networks_LH_DorsAttn_FEF,dorsal attention,frontal eye fields,L,1090.5504366265948,3.350749890630117e-191,2000.0,1.2268068147952202e-190
89,7Networks_LH_DorsAttn_FEF_4,7networks_lh_dorsattn_fef,7Networks_LH_DorsAttn_FEF,dorsal attention,frontal eye fields,L,135.79617422794274,2.0804537492523926e-30,2000.0,2.446958554820172e-30
