index,name,base_name,Label Name,network,component,hemisphere,f,pvalue,n,p_corrected
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,806.8801183053574,2.358137006052081e-149,2000.0,5.434488328668247e-149
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,485.1782025680059,1.980927895758148e-96,2000.0,2.5549467746426112e-96
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,592.6829459608036,7.563374840041583e-115,2000.0,1.125826943402911e-114
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,914.6798016534177,9.918993620095271e-166,2000.0,2.982266955975665e-165
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1109.8382951479202,6.928001145528031e-194,2000.0,3.3108552842839225e-193
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,500.6102018212835,4.018325094267253e-99,2000.0,5.287882877673429e-99
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1236.110631949689,3.5738805973529813e-211,2000.0,2.3515098423163098e-210
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,853.4128025436496,1.6883090419310618e-156,2000.0,4.3304650002073563e-156
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,677.6093520152784,7.339844316717854e-129,2000.0,1.296610630268446e-128
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,521.2493672985894,1.0684281827502688e-102,2000.0,1.43936615717692e-102
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,796.5283425362367,9.512222340527274e-148,2000.0,2.1378955161383081e-147
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,262.5694505587611,1.4187186561799436e-55,2000.0,1.5446001676395548e-55
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,761.023732679049,3.398995810890877e-142,2000.0,6.951099541191252e-142
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,508.91195638422937,1.45333926108318e-100,2000.0,1.9349443534655827e-100
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,228.17369924029973,6.7643833768807776e-49,2000.0,7.225953066126761e-49
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,896.7639549230228,4.736798330563203e-163,2000.0,1.3525197748903737e-162
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,951.2052124630419,3.851044737953758e-171,2000.0,1.3145671511511324e-170
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,739.0616535501802,1.0055254241876884e-138,2000.0,1.9762274570615175e-138
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,684.9368611506727,4.7609685609520916e-130,2000.0,8.509762703434053e-130
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,664.5009979610527,9.979421773051665e-127,2000.0,1.703254693596036e-126
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,876.3886743615811,5.5281725973792596e-160,2000.0,1.511921903138665e-159
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,354.27901073287234,6.990510343845992e-73,2000.0,8.116858557816062e-73
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,748.3904786955994,3.346494956720171e-140,2000.0,6.663634694521744e-140
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,582.6111213750828,3.7256631278672356e-113,2000.0,5.438749389233842e-113
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,657.6223405945334,1.3269627015580548e-125,2000.0,2.231263209286507e-125
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,846.1545586028336,2.158802462616171e-155,2000.0,5.355717584851047e-155
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,674.9266717359385,2.0019003972638782e-128,2000.0,3.4956260782992336e-128
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,396.1452018263153,1.4840105469882115e-80,2000.0,1.8111311514318493e-80
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,490.268654736017,2.5511686004900817e-97,2000.0,3.318712162242112e-97
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,580.4508979854875,8.611500858683238e-113,2000.0,1.2530837787955737e-112
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,378.86826606524306,2.0951443585529305e-77,2000.0,2.483539265752038e-77
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,2033.3497739268132,8.62622758892559e-307,2000.0,9.790768313430543e-305
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,923.8114120751957,4.338569547114488e-167,2000.0,1.3491168317739574e-166
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1485.1740643551175,2.2616013262663753e-243,2000.0,3.802840748610868e-242
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1372.7988392863424,3.8593243111771964e-229,2000.0,4.273495700669384e-228
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,915.8386541884512,6.664240859462378e-166,2000.0,2.03058077194357e-165
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,472.3705820073531,3.5045335764283703e-94,2000.0,4.4818542076013527e-94
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,736.2827880942602,2.777023038339394e-138,2000.0,5.434346807784848e-138
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,862.4234169551208,7.201363289142559e-158,2000.0,1.8789763984314494e-157
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,304.48677256175864,1.4244018473970494e-63,2000.0,1.616696096795651e-63
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,732.5535840517653,1.087315422901349e-137,2000.0,2.1117952824472408e-137
42,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,586.4755193033188,8.33752046975273e-114,2000.0,1.2249949169151262e-113
43,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,722.2646966744924,4.743064456502334e-136,2000.0,9.009837921556736e-136
44,7Networks_LH_SomMot_13,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,265.0335129586848,4.759014367923464e-56,2000.0,5.206247043463259e-56
45,7Networks_LH_SomMot_14,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1303.337429405374,4.2023623980284265e-220,2000.0,3.3471447872015886e-219
46,7Networks_LH_SomMot_15,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1093.9403385461283,1.1665677485042541e-191,2000.0,5.349714725463953e-191
47,7Networks_LH_SomMot_16,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,743.8134764229848,1.7742420896588065e-139,2000.0,3.517493051113966e-139
48,7Networks_LH_SomMot_17,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1484.868984847921,2.468467201635035e-243,2000.0,4.002443248365378e-242
49,7Networks_LH_SomMot_18,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1329.730130606894,1.470707384752033e-223,2000.0,1.2840406782258134e-222
50,7Networks_LH_SomMot_19,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1299.4160573733457,1.3782754232837348e-219,2000.0,1.0428950702846926e-218
51,7Networks_LH_SomMot_20,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,652.1938573853969,1.027473880771385e-124,2000.0,1.690120079239887e-124
52,7Networks_LH_SomMot_21,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,245.6379778569946,2.6672437873961246e-52,2000.0,2.8763151531540158e-52
53,7Networks_LH_SomMot_22,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1575.05921971951,1.9862695282581164e-254,2000.0,4.294125551567547e-253
54,7Networks_LH_SomMot_23,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,392.23366572584104,7.63001908108925e-80,2000.0,9.212842188336489e-80
55,7Networks_LH_SomMot_24,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,355.27362108677903,4.577342855435086e-73,2000.0,5.328496554788536e-73
56,7Networks_LH_SomMot_25,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,636.6056887735679,3.754535898511138e-122,2000.0,6.023177731180413e-122
57,7Networks_LH_SomMot_26,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1149.6536277734945,2.0641359153924011e-199,2000.0,1.0649064836228977e-198
58,7Networks_LH_SomMot_27,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,448.29498846136113,6.339333035699874e-90,2000.0,7.972457612763831e-90
59,7Networks_LH_SomMot_28,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1797.9260749665477,1.1047199063527872e-280,2000.0,5.015428374841654e-279
60,7Networks_LH_SomMot_29,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,710.8692345972064,3.157987054036947e-134,2000.0,5.781153719890217e-134
61,7Networks_LH_SomMot_30,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,923.7790116003689,4.386937100715233e-167,2000.0,1.3548771726018473e-166
62,7Networks_LH_SomMot_31,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,1150.4376784022352,1.6092635212820834e-199,2000.0,8.397765961632942e-199
63,7Networks_LH_SomMot_32,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,265.05557378403205,4.712727119290304e-56,2000.0,5.168063072844923e-56
64,7Networks_LH_SomMot_33,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,438.46825218984065,3.564209829096098e-88,2000.0,4.4700311116288077e-88
65,7Networks_LH_SomMot_34,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,526.450213039499,1.3566748887803332e-103,2000.0,1.8441029925337461e-103
66,7Networks_LH_SomMot_35,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,988.861459797025,1.1943947444331435e-176,2000.0,4.373025919134251e-176
67,7Networks_LH_SomMot_36,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,175.63762571522008,1.745368811646606e-38,2000.0,1.8470802808567812e-38
68,7Networks_LH_SomMot_37,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,732.5507155796342,1.0884583614375647e-137,2000.0,2.1117952824472408e-137
69,7Networks_LH_DorsAttn_Post_1,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,780.8334111105032,2.6560522131017534e-145,2000.0,5.742131927372362e-145
70,7Networks_LH_DorsAttn_Post_2,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,726.9425180525832,8.5074469445049065e-137,2000.0,1.6296965876815309e-136
