index,name,base_name,Label Name,network,component,hemisphere,beta1,intercept,pval,adj_r2,quad_beta2,quad_beta1,quad_intercept,quad_pval,quad_adj_r2,f_statistic,pval_quad_vs_linear,pval_adj,quad_pval_adj,pval_quad_vs_linear_adj
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.6271015246582996,201.77653338152723,0.35435019233381604,-0.0025645420778031003,0.02100263078509898,-1.1039425559617033,232.7073349551417,0.5867343767969915,-0.019165397966287356,0.2181435081711887,0.6426162017518715,0.45833329720670224,0.6166143682079493,0.7423607012604317
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1.4457250672868307,201.14387539472355,0.0038597286952471973,0.14367480633043805,0.006154741415944659,0.9384491548151335,210.20802966289014,0.015795602004086633,0.12614336657448222,0.03701697040718987,0.8482594203535528,0.010270190344828643,0.028512886633127125,0.8976917875070233
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.413884307791601,207.6769034877296,0.4121049568951525,-0.006478620924325051,0.030243427823430924,-2.078789455180603,252.21672683101124,0.4767201330896007,-0.010199866839741611,0.823183698787478,0.3688794773152074,0.5125908230969841,0.514087744471921,0.5152962544649359
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.37813793533875373,311.26814205249923,0.4930546183773513,-0.010786024525709204,0.08153142682772094,-7.097986283802014,431.3403563872449,0.059316499662638286,0.0755297819576708,5.481657310687478,0.02350891386426167,0.5859863789092081,0.08715110306419994,0.07260576118622311
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.6007848073096138,271.9547034323701,0.12890867902686148,0.027528839978727015,0.01182718907568206,-0.3740161997317397,289.3727327362551,0.2884742934462524,0.011164483231963174,0.20564228274081556,0.6522914925649159,0.20753383077374152,0.3366769388807162,0.7487287354235239
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-0.4881938715609464,216.69677787035587,0.4634086350583968,-0.009344486788900541,0.14603842528756206,-12.524731304598276,431.7691467041489,0.001636997691252965,0.2064997352297705,14.056734971470068,0.00048549920331075405,0.5625334767821181,0.004061185529119378,0.0038669585667207426
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-1.285403850361559,220.35124479125437,0.020864453038386414,0.0876613485340304,0.021213857749523155,-3.0338573303170495,251.59312260052923,0.06001163513985811,0.07507132957367546,0.34662971381513774,0.5588462944355486,0.04385398925660848,0.08760540949677037,0.6747771746641996
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.47161892898398605,292.55336943357713,0.20813311737037976,0.012652214670549444,0.008679357997666337,-0.24373675379557014,305.33555385414184,0.4296140089795565,-0.005737256587478257,0.12234073600857197,0.7280720232743477,0.3009313225673643,0.4677332375940495,0.8121491365271594
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,0.7088075363243957,181.7505761666485,0.1841156712109344,0.01638045766441265,0.08291656467143724,-6.125204351446989,303.8626979889127,0.022429687472356474,0.11300639871168139,6.22894997611297,0.0161347559645971,0.2700712651709656,0.03813886933501812,0.05549378187823548
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-1.066689349383343,217.59116585378416,0.0865680775561651,0.04036935524869856,0.1385187938215348,-12.483456160782843,421.58929207662675,0.0003361318054492253,0.25819437821140545,15.094798954205892,0.000319084026740768,0.14664890750186174,0.0011058249251735385,0.0029564111865369113
