index,name,base_name,Label Name,network,component,hemisphere,beta1,intercept,pval,adj_r2,quad_beta2,quad_beta1,quad_intercept,quad_pval,quad_adj_r2,f_statistic,pval_quad_vs_linear,pval_adj,quad_pval_adj,pval_quad_vs_linear_adj
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,3.511100085493941e-06,-0.000581866862275767,0.02590389461462493,0.08041924288910729,-3.660551616987817e-08,6.526499840425114e-06,-0.0006356724813090823,0.08054422121308934,0.06341651851563956,0.12860862265797243,0.7214849713589166,0.05180778922924986,0.11535355340928252,0.8734778053251951
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,3.1224312302952663e-06,-0.0006121435670708403,0.035836840991632674,0.06956378846811928,1.7582978427071503e-08,1.674023602497362e-06,-0.0005862987453689114,0.11130751689752687,0.05043478630880649,0.03303944751959277,0.8565468169101241,0.0669544272024742,0.1481924125263261,0.9468400303898092
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,1.5611048400888901e-06,-0.0004957302735435817,0.16771913107835296,0.019256897307216914,8.917279982481727e-08,-5.784554144485233e-06,-0.00036465719501517496,0.18875942562585865,0.028851096615842287,1.4742028387297192,0.2307494233657175,0.23795151721741326,0.2279169660482442,0.4258546268619339
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,4.45587183847869e-06,-0.0007627560465986521,0.005370935652921553,0.1328198152347536,-2.95458592441409e-08,6.8897284274846496e-06,-0.0008061848358315298,0.02074845007318961,0.11594234179101026,0.08363587173613464,0.7737012072365088,0.0139337416367222,0.03723239657402404,0.8961990288147298
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,2.5084112037814866e-06,-0.0006843897501551758,0.04076868372681452,0.06526013174487166,8.913409369803559e-08,-4.8340593420700404e-06,-0.0005533735648857605,0.06706653982410322,0.07068637839717717,1.2802711950583905,0.2635889687897159,0.07403592964789517,0.10149403026714288,0.4567534039333244
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,3.543675018999633e-06,-0.0004941095483760735,0.020206789222128672,0.08873338637041717,-2.009626359716336e-07,2.0098083935046477e-05,-0.0007894999748035786,0.007928855751132793,0.15140020026901668,4.544670960429591,0.038278361734749626,0.04169946503112008,0.017559514687874575,0.13367981713520255
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,4.650488085064351e-06,-0.0004924394911467691,0.0025180213779800943,0.15759519127469823,1.6386070042896577e-07,-8.84762825410296e-06,-0.0002515843593438034,0.002560025274558907,0.19125661117131043,2.9978502172085664,0.08993522975709044,0.007471775853614136,0.006679606176147953,0.23199201312340373
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,2.7184800478177837e-06,-0.0006978551976825879,0.03270073626431987,0.07262414201189704,1.3205741666946353e-07,-8.159823102283862e-06,-0.0005037469922726478,0.028254878346827612,0.10424899372188778,2.6946594214690194,0.10736069563824065,0.06272448844259354,0.048589828672195974,0.26346895037708784
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,9.154506234558478e-07,-0.000414810538964309,0.4313001435632726,-0.007610660572819672,-6.243056581464934e-09,1.4297258818189329e-06,-0.00042398706641626357,0.7337034431176273,-0.028905982986083156,0.006541420946846692,0.9358815692438467,0.5075739542602711,0.75704855267137,0.9700690238280969
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,3.781282896347129e-06,-0.0004632288350483909,0.012188193903216602,0.10563181054645354,-9.641685479895754e-08,1.1723674938648886e-05,-0.0006049497858916297,0.027163057403288806,0.10574986214568904,1.006336567950563,0.32091903501721075,0.02725832528108541,0.04706880939348518,0.5094309157266212
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-3.7260133897074688e-06,-0.00020824756457532375,0.006274966290896355,0.1276852487750183,-1.4544788520466516e-08,-2.5278783453441347e-06,-0.00022962661975434225,0.02450996124512835,0.10965236308230109,0.027819609599938767,0.8682491472351763,0.01582685942259414,0.0434668843956573,0.9533657084431146
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,-5.848326461393064e-07,-0.000446508430176402,0.694234300386855,-0.01751767588142039,3.2984456523263414e-07,-2.7755962170770498e-05,3.832262465019019e-05,0.0016401604591808209,0.20643455781868758,14.546087879100348,0.0003979169174794736,0.7504342199419813,0.0048352782368057965,0.0063224402332536945
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,8.627163884087137e-06,-0.0005782413557394208,1.1817739186004991e-07,0.434239822487688,-1.0162497923148512e-07,1.699857807334115e-05,-0.0007276176107120786,5.16804188335664e-07,0.43690693247973467,1.2273536773983407,0.27355977114683394,2.063559073248564e-06,7.332159422012233e-06,0.46169567323666394
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,3.3494765018053065e-06,-0.0007063863399803109,0.012337208807109031,0.10522640050518317,-1.276844300884167e-07,1.3867552449985316e-05,-0.0008940667914712794,0.01468623538677089,0.12884704737245045,2.3014833344811882,0.1359484619844167,0.027456337247193627,0.02873944338618097,0.3055475333709167
