index,name,base_name,Label Name,network,component,hemisphere,degree,strength,betweenness,global_efficiency,group,median_age,mean_age,sd_age,n_participants
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,181.0,124.519081632653,8362.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,188.0,117.35244897959183,161821.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,237.0,142.55091836734687,255.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,240.0,141.95673469387754,97997.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,319.0,179.6332653061223,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,111.0,99.16816326530619,166466.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,141.0,103.63214285714297,194712.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,342.0,189.6721428571428,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,262.0,146.31683673469394,25298.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,155.0,104.98571428571441,129754.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,160.0,110.56897959183677,120199.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,233.0,140.40908163265294,245.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,94.0,89.45357142857142,158916.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,270.0,157.3741836734694,3618.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,152.0,106.22387755102038,140554.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,303.0,168.1633673469388,130184.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,331.0,178.25387755102037,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,161.0,112.10500000000005,164009.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,333.0,177.49969387755075,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,239.0,136.9739795918368,129289.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,271.0,162.12071428571414,424.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,269.0,153.18571428571403,148821.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,270.0,158.18132653061218,450.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,330.0,168.84326530612228,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,264.0,141.22571428571428,188620.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,262.0,146.48561224489796,650.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,302.0,165.75734693877564,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,291.0,164.49102040816314,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,345.0,181.93030612244883,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,243.0,134.09622448979604,162439.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,297.0,157.48346938775535,19911.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,372.0,190.80367346938766,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,330.0,192.04020408163277,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,285.0,170.1421428571429,1583.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,254.0,147.525306122449,18723.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,274.0,160.2083673469389,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,317.0,177.34714285714298,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,248.0,145.89081632653065,179979.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,291.0,165.9226530612245,3.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,307.0,162.68091836734703,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,281.0,166.50908163265302,2481.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
42,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,269.0,145.72346938775502,2761.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
43,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,298.0,165.780918367347,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
44,7Networks_LH_SomMot_13,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,329.0,183.39051020408152,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
45,7Networks_LH_SomMot_14,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,267.0,159.4688775510203,48.5,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
46,7Networks_LH_SomMot_15,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,266.0,149.57734693877543,22953.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
47,7Networks_LH_SomMot_16,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,346.0,184.00132653061237,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
48,7Networks_LH_SomMot_17,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,327.0,183.24785714285719,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
49,7Networks_LH_SomMot_18,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,239.0,143.52336734693873,435.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
50,7Networks_LH_SomMot_19,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,270.0,155.39265306122462,90.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
51,7Networks_LH_SomMot_20,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,341.0,183.60173469387763,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
52,7Networks_LH_SomMot_21,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,287.0,164.20653061224502,11.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
53,7Networks_LH_SomMot_22,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,260.0,150.8797959183674,4234.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
54,7Networks_LH_SomMot_23,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,257.0,151.32693877551017,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
55,7Networks_LH_SomMot_24,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,117.0,96.26214285714286,169276.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
56,7Networks_LH_SomMot_25,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,130.0,101.40295918367347,163965.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
57,7Networks_LH_SomMot_26,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,307.0,177.19326530612258,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
58,7Networks_LH_SomMot_27,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,295.0,164.05714285714296,198161.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
59,7Networks_LH_SomMot_28,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,217.0,135.85734693877544,8000.5,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
60,7Networks_LH_SomMot_29,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,259.0,146.64377551020405,70592.5,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
61,7Networks_LH_SomMot_30,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,216.0,127.08367346938769,107943.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
62,7Networks_LH_SomMot_31,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,219.0,133.07540816326525,12832.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
63,7Networks_LH_SomMot_32,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,224.0,140.2670408163263,66159.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
64,7Networks_LH_SomMot_33,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,269.0,151.28102040816336,45.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
65,7Networks_LH_SomMot_34,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,247.0,150.93918367346953,6367.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
66,7Networks_LH_SomMot_35,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,300.0,158.41969387755105,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
67,7Networks_LH_SomMot_36,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,202.0,127.46469387755099,179403.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
68,7Networks_LH_SomMot_37,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,242.0,144.14867346938766,98529.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
69,7Networks_LH_DorsAttn_Post_1,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,228.0,135.91255102040827,194298.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
70,7Networks_LH_DorsAttn_Post_2,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,345.0,185.33602040816314,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
71,7Networks_LH_DorsAttn_Post_3,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,356.0,193.1988775510203,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
72,7Networks_LH_DorsAttn_Post_4,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,262.0,152.86142857142855,5247.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
73,7Networks_LH_DorsAttn_Post_5,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,267.0,160.07744897959196,3.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
74,7Networks_LH_DorsAttn_Post_6,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,327.0,170.8592857142855,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
75,7Networks_LH_DorsAttn_Post_7,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,320.0,167.5301020408162,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
76,7Networks_LH_DorsAttn_Post_8,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,304.0,171.02295918367338,0.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
77,7Networks_LH_DorsAttn_Post_9,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,321.0,171.66836734693888,2.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
78,7Networks_LH_DorsAttn_Post_10,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,252.0,149.39693877551016,11662.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
79,7Networks_LH_DorsAttn_Post_11,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,236.0,135.30204081632664,68345.5,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
80,7Networks_LH_DorsAttn_Post_12,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,264.0,146.50602040816332,8501.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
81,7Networks_LH_DorsAttn_Post_13,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,281.0,164.49938775510208,102652.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
82,7Networks_LH_DorsAttn_Post_14,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,188.0,117.00459183673482,180971.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
83,7Networks_LH_DorsAttn_Post_15,7networks_lh_dorsattn_post,7Networks_LH_DorsAttn_Post,dorsal attention,posterior,L,169.0,102.78010204081635,181051.0,-3.379913242355298e-05,Q38,34.69,34.733061224489795,0.3068740518086692,49
