index,name,base_name,Label Name,network,component,hemisphere,degree,strength,clustering,betweenness,global_efficiency,group,median_age,mean_age,sd_age,n_participants
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,274.0,114.18879130837722,0.16942472681533724,87970.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,282.0,119.01027258216246,0.18182907754762698,9527.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,262.0,110.1354383883479,0.1727480986937547,10423.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,239.0,115.95099811558478,0.16173952953863702,101047.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,260.0,114.17406296020864,0.17726154386641538,81451.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,124.0,59.45436048857056,0.07124249286488289,117018.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,116.0,53.10817725178952,0.05365425947041794,168313.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,232.0,108.84330307823497,0.16242270956233054,95385.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,223.0,102.73348043848279,0.1583204098238948,24973.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,61.0,34.138410333350556,0.030025086612854475,178854.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,95.0,55.91421355975618,0.06614573103970574,131754.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,247.0,117.93973391183846,0.17856176819115943,25790.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,86.0,37.30300085837758,0.036113726622882966,185179.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,167.0,78.44761195247557,0.11588991834933429,164658.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,178.0,86.96754510892056,0.13372466090943083,89776.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,136.0,63.75343957162722,0.08094248490175067,134548.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,311.0,131.3787069567617,0.21130905332439795,0.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,283.0,119.20728090160293,0.18903732602655637,32940.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,188.0,92.89677262942078,0.1304267197151861,98213.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,86.0,40.889184225057996,0.04351367461984567,183816.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,270.0,125.96373342215719,0.19459615679060138,54666.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,211.0,102.8092966016332,0.12542831586139114,144518.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,349.0,155.57674649411223,0.23620449012564732,0.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,216.0,103.84456827123195,0.14477820337654065,69121.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,205.0,96.42639738432757,0.1334958343576903,66928.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,186.0,79.11518879680189,0.1094579401951575,133949.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,214.0,94.91675988541029,0.1315572603246525,110286.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,140.0,65.5993463485741,0.09338376780623613,127442.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,261.0,119.78172238615579,0.16769317722174018,111459.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,111.0,47.85070280599865,0.056207166322611364,184242.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,275.0,134.27809091259024,0.19748015651504525,20486.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,297.0,150.10799229414334,0.2180802892821208,0.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,280.0,140.79147698991875,0.20954886202621423,0.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,214.0,112.20131542456522,0.14269056386171536,146000.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,276.0,148.0166473416131,0.21104633585139843,0.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,206.0,106.75442178871246,0.13037464404913815,119357.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,243.0,128.73776664896238,0.18555564169173394,66342.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,191.0,101.74001322383887,0.12352304848555011,127227.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,220.0,118.43008964146793,0.15621934208899982,89379.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,262.0,131.1412003327287,0.18962159796288777,41104.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,226.0,117.97484863243412,0.1574108218165409,83202.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
42,7Networks_LH_SomMot_11,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,124.0,61.907185611355324,0.08242344117554083,184979.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
43,7Networks_LH_SomMot_12,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,188.0,90.25318371511665,0.12271755486386328,136249.0,-1.2307632631535978e-05,Q41,38.55,38.512,0.3546419449119209,45
