index,name,base_name,Label Name,network,component,hemisphere,degree,strength,betweenness,global_efficiency,group,median_age,mean_age,sd_age,n_participants
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,133.0,63.579693877550994,156420.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,268.0,108.74836734693878,86165.5,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,222.0,96.99887755102053,122307.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,332.0,146.61397959183688,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,336.0,161.6416326530613,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,158.0,75.84846938775503,111092.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,141.0,68.75581632653063,143691.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,289.0,124.10193877551023,5330.5,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,216.0,94.15040816326535,153038.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,139.0,57.247755102040834,177707.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,205.0,87.99142857142856,135111.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,279.0,115.64704081632664,1105.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,159.0,75.62224489795916,174728.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,306.0,122.68438775510207,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,209.0,87.73622448979593,136334.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,264.0,110.94224489795927,93840.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,268.0,111.12295918367353,3370.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,249.0,108.49581632653071,90897.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,314.0,141.05397959183665,1.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,234.0,103.00663265306132,89813.5,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,282.0,122.34877551020416,3695.5,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,263.0,122.24132653061214,102051.99999999999,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,286.0,119.3669387755102,113718.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,339.0,148.1467346938774,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,319.0,148.67775510204086,2.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,306.0,137.6242857142857,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,329.0,154.90540816326518,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,201.0,90.44040816326535,135885.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,287.0,120.54948979591825,102018.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,240.0,102.32489795918374,151018.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,290.0,121.8808163265307,181470.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,342.0,138.6548979591837,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,330.0,143.4525510204081,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,286.0,125.49071428571425,20738.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
35,7Networks_LH_SomMot_4,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,342.0,139.3774489795919,0.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
36,7Networks_LH_SomMot_5,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,265.0,111.66642857142853,100247.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
37,7Networks_LH_SomMot_6,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,248.0,98.57979591836742,163755.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
38,7Networks_LH_SomMot_7,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,303.0,127.30295918367342,2840.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
39,7Networks_LH_SomMot_8,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,291.0,113.49153061224496,396.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
40,7Networks_LH_SomMot_9,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,83.0,34.78153061224489,160603.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
41,7Networks_LH_SomMot_10,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,255.0,95.56336734693876,170045.0,-1.8476368803186196e-05,Q6,22.51,22.467551020408166,0.13204372085671812,49
