index,name,base_name,Label Name,network,component,hemisphere,degree,strength,betweenness,global_efficiency,group,median_age,mean_age,sd_age,n_participants
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,195.0,29.895833184608165,197612.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,232.0,45.771156166045195,153680.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,223.0,44.423524752973904,45789.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,249.0,52.48030475592416,103174.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,259.0,60.63128032166219,195510.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,243.0,51.25106598909505,19485.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,239.0,50.39978692498974,110259.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,293.0,70.74596169367501,38738.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,214.0,41.8522753339425,135037.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,195.0,38.68897365895975,109005.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,230.0,48.73416455018989,36954.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,217.0,46.2709144170315,129145.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
13,7Networks_LH_Vis_13,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,261.0,65.11041968149951,62296.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
14,7Networks_LH_Vis_14,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,167.0,28.238887925167724,143961.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
15,7Networks_LH_Vis_15,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,136.0,8.628013985490677,181896.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
16,7Networks_LH_Vis_16,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,273.0,67.96307670295218,47838.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
17,7Networks_LH_Vis_17,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,181.0,29.05946912557155,91383.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
18,7Networks_LH_Vis_18,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,219.0,46.16507237817548,88094.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
19,7Networks_LH_Vis_19,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,228.0,45.71719618136978,86458.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
20,7Networks_LH_Vis_20,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,219.0,49.30911217475448,81158.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
21,7Networks_LH_Vis_21,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,231.0,54.55181189045889,105724.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
22,7Networks_LH_Vis_22,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,272.0,72.99352731317332,82443.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
23,7Networks_LH_Vis_23,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,292.0,69.76488197243344,40450.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
24,7Networks_LH_Vis_24,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,223.0,45.2528840168785,146168.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
25,7Networks_LH_Vis_25,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,196.0,38.3875325287959,171817.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
26,7Networks_LH_Vis_26,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,266.0,66.37423970258408,56966.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
27,7Networks_LH_Vis_27,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,266.0,62.02257863864733,45926.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
28,7Networks_LH_Vis_28,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,184.0,28.199250899728646,145373.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
29,7Networks_LH_Vis_29,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,281.0,74.21629296659361,23412.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
30,7Networks_LH_Vis_30,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,223.0,50.97802428363601,95095.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
31,7Networks_LH_Vis_31,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,178.0,29.060563618496605,109110.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
32,7Networks_LH_SomMot_1,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,312.0,86.07975782416275,159391.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
33,7Networks_LH_SomMot_2,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,301.0,81.284906956668,138.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
34,7Networks_LH_SomMot_3,7networks_lh_sommot,7Networks_LH_SomMot,somatomotor,somatomotor,L,353.0,107.62408661813491,0.0,-7.0370808241545766e-06,Q31,30.49,30.47772727272727,0.10821734453175881,44
