index,name,base_name,Label Name,network,component,hemisphere,degree,strength,clustering,betweenness,global_efficiency,group,median_age,mean_age,sd_age,n_participants
1,7Networks_LH_Vis_1,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,281.0,71.79056882471926,0.06611040263577908,116170.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
2,7Networks_LH_Vis_2,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,146.0,19.589863374812662,0.018929897212157185,117683.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
3,7Networks_LH_Vis_3,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,142.0,11.530985528835112,0.01886517847107012,184578.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
4,7Networks_LH_Vis_4,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,240.0,56.12943834114624,0.0495398719499012,61705.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
5,7Networks_LH_Vis_5,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,166.0,25.902416621834327,0.02991138373466588,161408.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
6,7Networks_LH_Vis_6,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,274.0,72.28655631926901,0.07166245996544564,30648.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
7,7Networks_LH_Vis_7,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,212.0,50.10992109513274,0.044708543306433854,139679.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
8,7Networks_LH_Vis_8,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,220.0,45.97003966190069,0.04423704816409603,82050.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
9,7Networks_LH_Vis_9,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,187.0,30.57105916907045,0.02927300942053998,195039.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
10,7Networks_LH_Vis_10,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,171.0,29.611386365508803,0.02594113635146955,130583.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
11,7Networks_LH_Vis_11,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,97.0,-4.727006188503604,0.015008666675402179,195758.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
12,7Networks_LH_Vis_12,7networks_lh_vis,7Networks_LH_Vis,visual,visual,L,237.0,56.11872049417716,0.051066618508760625,66271.0,-7.896031419561314e-06,Q37,34.13,34.142272727272726,0.1903590687433987,44
